id,course_id,course_name,source_id,resource_id,source_media_path,file,file_size,sha256,owner_id,owner_entity_type,owner_resolution,layout
C07:IMG:1731,C07,数据结构,1731,rId7,media/image7.png,media/C07/1731_image7.png,275347,db9511c277d30cb1588efacf7e8bd501b6478e806f6065820339ebd7d1eeb3cb,C07:ANCH:1730,structural_anchor,anchor,"{""x"":148.5,""y"":54.4218,""width"":260.0,""height"":91.6436}"
C07:IMG:1754,C07,数据结构,1754,rId8,media/image8.png,media/C07/1754_image8.png,17005,c318126a20dfda4a710ba4a598992b7d29a5ff09fdcd4d19b9a73a39aec71d8f,C07:F:1753,floating_root,direct,"{""x"":200.5,""y"":24.8305,""width"":260.0,""height"":32.461}"
C07:IMG:1760,C07,数据结构,1760,rId9,media/image9.png,media/C07/1760_image9.png,16797,4b72a0b550064d172b2cee1c67647d34f6d8e8da85bb00e1a511296643cc5408,C07:F:1759,floating_root,direct,"{""x"":182.5,""y"":24.8305,""width"":260.0,""height"":32.461}"
C07:IMG:1778,C07,数据结构,1778,rId10,media/image10.png,media/C07/1778_image10.png,265912,08e0e94e6d4e0bfc54ef1105d094068486ae271f7f0f0a978776c137aec1cbf0,C07:ANCH:1777,structural_anchor,anchor,"{""x"":148.5,""y"":50.4957,""width"":260.0,""height"":83.7915}"
C08:IMG:3409,C08,计算机组成原理,3409,rId2,media/image2.png,media/C08/3409_image2.png,202967,41810ada9881104f95ca67ecc5ac0c89134f68630e4264a0516f4520c523efbc,C08:K:420,knowledge,nearest_ancestor,"{""x"":122.5,""y"":89.25,""width"":231.0,""height"":173.0}"
C09:IMG:1167,C09,操作系统,1167,rId4,media/img1637486866229.png,media/C09/1167_img1637486866229.png,10705,181043dfa6fafa0e570ab8ccd64daca7983475e79eadead0d819160485841de7,C09:K:961,knowledge,nearest_ancestor,"{""x"":157.0,""y"":73.884,""width"":300.0,""height"":142.268}"
C09:IMG:1183,C09,操作系统,1183,rId5,media/image5.png,media/C09/1183_image5.png,123929,66bcac986a252720fc9e5235727aace86d75e6fd96c34f080e10ff20b07d5b72,C09:K:554,knowledge,nearest_ancestor,"{""x"":130.472,""y"":71.4575,""width"":246.944,""height"":137.415}"
C09:IMG:1184,C09,操作系统,1184,rId6,media/image6.png,media/C09/1184_image6.png,112285,85177f6e0fa6e412b41d5a1ee7bff1c0eff8fb2f31dd66b08eafefe77bd4c7ae,C09:K:556,knowledge,nearest_ancestor,"{""x"":120.893,""y"":69.7354,""width"":227.786,""height"":133.971}"
C10:IMG:245,C10,计算机网络,245,rId110,media/image110.png,media/C10/245_image110.png,72185,9e6248c150f9e8ee871eb7bdf293193e6ed9b1122013f99d681e432acff52777,C10:K:241,knowledge,nearest_ancestor,"{""x"":164.0,""y"":66.25,""width"":314.0,""height"":127.0}"
C10:IMG:256,C10,计算机网络,256,rId111,media/image111.png,media/C10/256_image111.png,101022,8507c383c299f78736eed867142e195c4702bb70b9372f458242f00ce082b587,C10:K:250,knowledge,nearest_ancestor,"{""x"":175.5,""y"":62.25,""width"":337.0,""height"":119.0}"
C10:IMG:267,C10,计算机网络,267,rId112,media/image112.png,media/C10/267_image112.png,117998,b5e73cda1af75bd6d6a1d528c98fff0b1cfd0325c98038c772e17ac8dffa5d68,C10:K:263,knowledge,nearest_ancestor,"{""x"":161.5,""y"":67.75,""width"":309.0,""height"":130.0}"
C10:IMG:428,C10,计算机网络,428,rId114,media/image114.png,media/C10/428_image114.png,260105,0045849a3428940d5629bb331ce4ab8cabb54d01fea9e50c2f1e11dd3cba5c16,C10:K:424,knowledge,nearest_ancestor,"{""x"":136.5,""y"":80.25,""width"":259.0,""height"":155.0}"
C10:IMG:955,C10,计算机网络,955,rId117,media/image117.png,media/C10/955_image117.png,17715,af8d1fa4b699627d7ba3a12197254f6712a38ce34d7071a23e63c6bb05bbc76b,C10:K:951,knowledge,nearest_ancestor,"{""x"":166.264,""y"":23.6599,""width"":318.528,""height"":41.8198}"
C10:IMG:998,C10,计算机网络,998,rId121,media/image121.png,media/C10/998_image121.png,73969,aa81fb211862d33fd26a065473720034297d5832af5ed16ce56293ce9d27c439,C10:K:994,knowledge,nearest_ancestor,"{""x"":143.962,""y"":68.6243,""width"":273.923,""height"":131.749}"
C10:IMG:1001,C10,计算机网络,1001,rId122,media/image122.png,media/C10/1001_image122.png,99499,1a1f463742f776d9fd162e0751e9d4fc471e46492817265b0cf4c4ff8a1469df,C10:K:992,knowledge,nearest_ancestor,"{""x"":117.599,""y"":64.4703,""width"":221.199,""height"":123.441}"
C10:IMG:1004,C10,计算机网络,1004,rId123,media/image123.png,media/C10/1004_image123.png,67223,b8965695e59f03df8ef3def2756ccc04eafc48b511941c58e6cacbb06c8513bc,C10:K:992,knowledge,nearest_ancestor,"{""x"":142.006,""y"":64.3235,""width"":270.011,""height"":123.147}"
C10:IMG:1026,C10,计算机网络,1026,rId124,media/image124.png,media/C10/1026_image124.png,184443,a24e41366b5cc4261fec7d213e0db7e29539528fc4c4ef60142c9562cbc22059,C10:K:1022,knowledge,nearest_ancestor,"{""x"":131.233,""y"":68.0172,""width"":248.466,""height"":130.534}"
C10:IMG:1056,C10,计算机网络,1056,rId125,media/image125.png,media/C10/1056_image125.png,162521,4cdeff6e9153d71147ae4b48a3112881635bf8cbb9855b051ad955037c54c17f,C10:K:1051,knowledge,nearest_ancestor,"{""x"":163.5,""y"":66.75,""width"":313.0,""height"":128.0}"
C10:IMG:1091,C10,计算机网络,1091,rId128,media/image128.png,media/C10/1091_image128.png,58621,d0f7cfc44e282cbccdd9e0cbe2a8c1bd87f03dc57fa684c58c5926b28700544d,C10:K:1087,knowledge,nearest_ancestor,"{""x"":173.5,""y"":62.25,""width"":333.0,""height"":119.0}"
