id,course_id,course_name,source_id,label,entity_type,parent_id,depth,path,layout,image_ids
C01:F:1213,C01,高等数学,1213,斯托克斯公式,floating_root,,0,斯托克斯公式,"{""x"":911.57,""y"":4788.45,""width"":117.0,""height"":35.0}",[]
C02:F:836,C02,线性代数,836,矩阵的秩,floating_root,,0,矩阵的秩,"{""x"":843.304,""y"":761.304,""width"":91.0,""height"":35.0}",[]
C05:F:1296,C05,离散数学,1296,饱和点,floating_root,,0,饱和点,"{""x"":1095.81,""y"":2612.47,""width"":75.0,""height"":33.0}",[]
C07:F:1753,C07,数据结构,1753,普通递归：,floating_root,,0,普通递归：,"{""x"":1332.18,""y"":1790.63,""width"":347.0,""height"":49.461}","[""C07:IMG:1754""]"
C07:F:1759,C07,数据结构,1759,尾递归,floating_root,,0,尾递归,"{""x"":1322.68,""y"":1884.63,""width"":329.0,""height"":49.461}","[""C07:IMG:1760""]"
C09:F:1187,C09,操作系统,1187,计算机组成原理,floating_root,,0,计算机组成原理,"{""x"":803.364,""y"":5096.31,""width"":151.0,""height"":37.6667}",[]
C09:F:1189,C09,操作系统,1189,数据结构,floating_root,,0,数据结构,"{""x"":828.792,""y"":6054.05,""width"":103.0,""height"":37.6667}",[]
C09:F:1191,C09,操作系统,1191,C语言,floating_root,,0,C语言,"{""x"":711.414,""y"":6330.77,""width"":81.6667,""height"":37.6667}",[]
C09:F:1193,C09,操作系统,1193,计算机组成原理,floating_root,,0,计算机组成原理,"{""x"":802.776,""y"":8170.77,""width"":151.0,""height"":37.6667}",[]
C09:F:1195,C09,操作系统,1195,嵌入式,floating_root,,0,嵌入式,"{""x"":602.628,""y"":4382.2,""width"":87.0,""height"":37.6667}",[]
C09:F:1203,C09,操作系统,1203,数据库,floating_root,,0,数据库,"{""x"":820.2,""y"":3210.63,""width"":87.0,""height"":37.6667}",[]
C09:F:1211,C09,操作系统,1211,计算机组成原理,floating_root,,0,计算机组成原理,"{""x"":707.2,""y"":4669.04,""width"":151.0,""height"":37.6667}",[]
C09:F:1219,C09,操作系统,1219,计算机组成原理,floating_root,,0,计算机组成原理,"{""x"":876.023,""y"":7374.51,""width"":151.0,""height"":37.6667}",[]
C09:FI:1197,C09,操作系统,1197,进程管理,floating_item,C09:F:1195,1,嵌入式 > 进程管理,"{""x"":480.262,""y"":4340.45,""width"":71.3333,""height"":23.5}",[]
C09:FI:1199,C09,操作系统,1199,内存管理,floating_item,C09:F:1195,1,嵌入式 > 内存管理,"{""x"":480.262,""y"":4370.45,""width"":71.3333,""height"":23.5}",[]
C09:FI:1201,C09,操作系统,1201,I/O管理,floating_item,C09:F:1195,1,嵌入式 > I/O管理,"{""x"":483.262,""y"":4400.45,""width"":65.3333,""height"":23.5}",[]
C09:FI:1205,C09,操作系统,1205,读锁,floating_item,C09:F:1203,1,数据库 > 读锁,"{""x"":711.167,""y"":3183.88,""width"":44.6667,""height"":23.5}",[]
C09:FI:1209,C09,操作系统,1209,写锁,floating_item,C09:F:1203,1,数据库 > 写锁,"{""x"":711.167,""y"":3213.88,""width"":44.6667,""height"":23.5}",[]
