id,course_id,course_name,source_id,entity_type,source_shape_type,label,nearest_parent_id,nearest_parent_label,layout
C07:ANCH:1730,C07,数据结构,1730,structural_anchor,Floating,无文字结构节点 1730,,,"{""x"":1204.24,""y"":559.178,""width"":295.0,""height"":108.644}"
C07:ANCH:1777,C07,数据结构,1777,structural_anchor,Floating,无文字结构节点 1777,,,"{""x"":4051.96,""y"":4374.85,""width"":295.0,""height"":100.791}"
C11:ANCH:4819,C11,编译原理,4819,structural_anchor,SubTopic,无文字结构节点 4819,C11:K:4810,分析过程,"{""x"":1331.73,""y"":30749.3,""width"":260.0,""height"":167.5}"
C11:ANCH:4822,C11,编译原理,4822,structural_anchor,SubTopic,无文字结构节点 4822,C11:K:4810,分析过程,"{""x"":1318.73,""y"":30915.8,""width"":286.0,""height"":152.5}"
C11:ANCH:4816,C11,编译原理,4816,structural_anchor,SubTopic,无文字结构节点 4816,C11:K:4810,分析过程,"{""x"":1589.57,""y"":30834.1,""width"":169.267,""height"":156.923}"
C11:ANCH:4904,C11,编译原理,4904,structural_anchor,SubTopic,无文字结构节点 4904,C11:K:4897,为每一个语义规则建立一个包含赋值的动作，并把这个动作放在相应的产生式右边的末尾,"{""x"":970.633,""y"":31476.3,""width"":219.0,""height"":50.5}"
C11:ANCH:4907,C11,编译原理,4907,structural_anchor,SubTopic,无文字结构节点 4907,C11:K:4897,为每一个语义规则建立一个包含赋值的动作，并把这个动作放在相应的产生式右边的末尾,"{""x"":960.3,""y"":31536.0,""width"":239.667,""height"":55.9431}"
C11:ANCH:5623,C11,编译原理,5623,structural_anchor,SubTopic,无文字结构节点 5623,C11:K:5619,布尔表达式的文法,"{""x"":1327.1,""y"":24939.3,""width"":135.133,""height"":136.728}"
C11:ANCH:4916,C11,编译原理,4916,structural_anchor,SummaryTopic,无文字结构节点 4916,,,"{""x"":952.324,""y"":31641.6,""width"":259.353,""height"":71.1366}"
C12:ANCH:338,C12,数据库,338,structural_anchor,SubTopic,无文字结构节点 338,C12:K:286,数据库系统结构,"{""x"":4187.47,""y"":3321.36,""width"":439.364,""height"":225.46}"
C15:ANCH:238,C15,数据挖掘,238,structural_anchor,SubTopic,无文字结构节点 238,C15:K:236,instance,"{""x"":1941.77,""y"":1504.38,""width"":381.135,""height"":172.641}"
C17:ANCH:154,C17,云计算,154,structural_anchor,Floating,无文字结构节点 154,,,"{""x"":874.14,""y"":1293.07,""width"":294.0,""height"":156.368}"
