id,source_id,label,source_label,entity_type,linked_course_id,linked_course_name,layout
OV:101,101,26门课程总览,中心主题,overview_root,,,"{'x': 2121.5, 'y': 1248.0, 'width': 152.84, 'height': 64.0}"
OV:102,102,高等数学,高等数学,course_reference,C01,高等数学,"{'x': 2203.1, 'y': 1116.0, 'width': 103.0, 'height': 37.6}"
OV:103,103,概率论与数理统计,概率论与数理统计,course_reference,C03,概率论与数理统计,"{'x': 2327.32, 'y': 1204.0, 'width': 167.0, 'height': 37.6}"
OV:104,104,大学物理学,大学物理学,course_reference,C04,大学物理,"{'x': 2014.3, 'y': 1314.4, 'width': 119.0, 'height': 37.6}"
OV:105,105,线性代数,线性代数,course_reference,C02,线性代数,"{'x': 2014.3, 'y': 1158.4, 'width': 103.0, 'height': 37.6}"
OV:106,106,离散数学,离散数学,course_reference,C05,离散数学,"{'x': 2264.7, 'y': 1360.8, 'width': 103.0, 'height': 37.6}"
OV:123,123,C语言-1,C语言-1,course_reference,C06,高级语言程序设计（C语言）,"{'x': 2010.94, 'y': 2086.1, 'width': 98.2, 'height': 37.6}"
OV:124,124,模拟电子技术,模拟电子技术,course_reference,C24,模拟电子技术,"{'x': 3320.9, 'y': 1675.2, 'width': 135.0, 'height': 37.6}"
OV:125,125,数字电子技术,数字电子技术,course_reference,C23,数字电子技术,"{'x': 2739.73, 'y': 1577.8, 'width': 135.0, 'height': 37.6}"
OV:126,126,汇编语言,汇编语言,course_reference,C22,汇编语言,"{'x': 1760.79, 'y': 2763.02, 'width': 103.0, 'height': 37.6}"
OV:127,127,数据结构-1,数据结构-1,course_reference,C07,数据结构,"{'x': 2022.3, 'y': 1646.91, 'width': 119.8, 'height': 37.6}"
OV:128,128,计算机组成原理,计算机组成原理,course_reference,C08,计算机组成原理,"{'x': 1763.17, 'y': 2171.49, 'width': 151.0, 'height': 37.6}"
OV:129,129,计算机操作系统,计算机操作系统,course_reference,C09,操作系统,"{'x': 2268.1, 'y': 2404.44, 'width': 151.0, 'height': 37.6}"
